běda;bieda;biada
běditi;biedzić;biedzić
bědьnъ;biedny;
běgati;biegać;biegać
běglъ;biegły;
běgǫtъ;;
běgъ;bieg;bieg
běka;;
běkati;bekać;
bělěti;bieleć;
bělica;bielica;bielica
bělidlo;bielidło;bielidło
bělina;;
běliti;bielić;
bělivo;;
bělь;biel;
bělьcь;;
bělьmo;bielmo;bielmo
bělonogъ;białonogi;
bělota;;
bělověža;Białowieża;
Bělovoldъ;;
bělovolsъ;białowłosy;
bělъ;biały;biał
bělъ bogъ;;
bělъka;białka;
bělъkъ;białek;białek
běsiti;biesić;
běsъ;bies;bies
běťi;biec;biec
běžati;bieżeć;
biba;;
bičati;;
bičevati;biczować;
bičь;bicz;bicz
bidlo;bidło;bidło
bigrъ;;
biti;bić;bić
bitva;bitwa;bitwa
bьbrъ;;
bьčela;pszczoła;pczeła
bьltati;bełtać;
bьranь;;
bьrati;brać;
bьrava;;
bьrdo;bardo;bardo
bьrgъ;;barg
bьrgъlězъ;bargiel;
bьrlogъ;barłóg;barłóg
blazniti;błaźnić;
blaznь;;
blaznъ;błazen;błazno
blejati;;
blekotъ;blekot;blekot
blědostь;bladość;bladość
blědъ;blady;blady
blějati;;
blěknǫti;;
blěskъ;blask;blask
blędati;blańdać;
blędivъ;;
blędь;bladź;
blęsti;blęść;
blizьnьcь;bliźniak;
blizna;blizna;blizna
blizъ;blizo;blizi
blizъkъ;bliski;bliski
blьknǫti;blaknąć;
blьsknǫti;błysnąć;
blьščati;błyszczeć;błyszczeć, błyszczeć się
blǫdati;;
blǫditi;błądzić;błądzić
blǫdьnъ;błędny;
blǫdъ;błąd;błąd
blъxa;pchła;
blyjati;;
bľьvati;bluć;blwać
bľudo;;
bľukati;;
bľusti;;
bľuščь;bluszcz;bluszcz
bľuti;;
bľuzgati;bluzgać;
bo;bo;
bobrъ;bóbr;bóbr
bobъ;bób;bób
bobyrь;bobyr;
bodačь;;
bodati;;
bodъ;;
bodъľь;;
bogačь;bogacz;
bogatьstvo;bogactwo;bogatstwo
bogatъ;bogaty;
Bogodanъ;Bogodan;
bogъ;bóg;bóg
bogъ daďь;bodaj;bodaj
Bogъdanъ;Bogdan;
bogyni;bogini;bogini
bojati;bać;bojeć
bojaznь;bojaźń;
bojevati;bojować;
bojevъ;bojowy;
bojь;bój;
bojьcь;;
bojьkъ;;
Bojьmirъ;;
bojьnъ;bojny;
bokъ;bok;
bolěti;boleć;
bolgo;błogo;błogo
bolgъ;błahy;
bolь;ból;
bolna;błona;
bolnьje;błonie;
boltina;;błocina
bolto;błoto;błoto
bolzina;;
boľь;;
boľьjь;;
borda;broda;
bordačь;brodacz;
bordatъ;brodaty;
bordavъka;brodawka;
bordy;;
borgъ;bróg;
boriti;burzyć;borzyć
borьba;borba;
borьcь;;
borkъ;;
borna;brama;brona
Bornimirъ;;
borniti;bronić;
bornь;broń;
borsky;broskiew;
boršьno;;
borti;bróć;
borъ;bór;
borvъ;browek;
borzda;bruzda;brózda
bosonogъ;bosonogi;
bosti;bóść;
bosъ;bosy;
botьjanъ;bocian;bocian
božiťь;;Bożyc
božurъ;;
bǫba;;
bǫbarъ;;
bǫbьniti;bębnić;
bǫbьnъ;bęben;
bǫkъ;bąk;bąk
braga;braha;
bratьcь;;braciec
bratьskъ;bracki;bracki
bratriti;;
bratrьja;bracia;
bratrьstvo;braterstwo;
bratrъ;brat;brat
brediti;brzedzić;
bresti;;
